gbifID,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,identifiedBy,dateIdentified,recordedBy
2611076639,https://www.inaturalist.org/observations/43588396,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Davao del Sur,2020-04-25 7:25:47,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,Casey Clark Sumalinog,2020-04-26 11:38:57,Casey Clark Sumalinog
2603555511,https://www.inaturalist.org/observations/42299763,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus ostreatus,SPECIES,PH,,Surigao del Sur,2020-04-04 13:53:56,2526530,2526530,HUMAN_OBSERVATION,iNaturalist,Observations,Greg III Espera,2020-04-16 13:23:11,kessad12
2576409034,https://www.inaturalist.org/observations/38942289,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Laguna,2020-02-21 12:51:16,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,bia_adz707,2020-02-21 0:54:10,bia_adz707
2575236313,FML:LIL-Fungi:160622,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,,1907-11-01 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,FML,LIL-Fungi,Graff,,W. I. Hutchinson
2513185219,https://data.biodiversitydata.nl/naturalis/specimen/L%20%200237902,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Luzon,1912-11-01 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,,Botany,,,Serviñas V
2460158386,https://www.inaturalist.org/observations/35600566,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cyptotrama,Cyptotrama asprata,SPECIES,PH,,Laguna,2019-11-12 14:08:09,2536991,2536991,HUMAN_OBSERVATION,iNaturalist,Observations,Abraham J. Medina-Ortiz,2019-11-12 8:19:23,Ling SC
2459991175,https://www.inaturalist.org/observations/14510700,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Isabela,2018-07-19 18:20:00,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,Eugene Popov,2018-09-24 12:57:33,Tim Woodward
2447225114,de5918c8-c7aa-4455-854d-9efb23c8a4d3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,GENUS,PH,"Todaya, Mt. Apo",Davao del Sur,1909-08-01 0:00:00,2522460,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447225096,ceb1e03f-bfbb-4dd3-81fb-20abdbe99416,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-05-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447225012,7e43464a-b040-4ace-833a-9a4bad49cf58,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,"Banga, Zanboanga",,1907-11-01 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,F,Botany,,,H. N. Whitford & W. I. Hutchinson
2447224960,4e3fd40b-66cb-452f-92bc-e460dcf410f3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447224944,3c9054ae-9f0f-436a-b035-179fb51ec688,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
