gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,identifiedBy,dateIdentified,recordedBy
2236101773,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,,GENUS,PH,"Camp Keithley, Lake Lanao, Mindanao.",,,3177662,,PRESERVED_SPECIMEN,US,,,M. S. Clemens
2236101755,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla magnifica,SPECIES,PH,"Lucban, Province Tayabas, Island Luzon.",Calabarzon,,3188507,3188507,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236101422,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Osbeckia,Osbeckia chinensis,SPECIES,PH,"Baguio, Province of Benguet, Luzon.",Cordillera (Administrative Region),,3866460,3866460,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236101335,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum,Decaspermum fruticosum,SPECIES,PH,"Philippine Islands, Dumaguete (Cuernos Mts.), Province of Negros Oriental, Island of Negros.",,,3180140,3180140,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236101039,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastoma,Melastoma malabathricum,SPECIES,PH,"Mt. Pukis, Bontoc Sub-Province, Luzon.",Cordillera (Administrative Region),,3188511,3188511,PRESERVED_SPECIMEN,US,,,M. Ramos & G. Edaño
2236100992,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Callistemon,Callistemon lanceolatus,SPECIES,PH,"Kenon Road, Baguio, Prov. Benguet, Luzon.",,1958-06-28 0:00:00,3173453,3173453,PRESERVED_SPECIMEN,US,,,J. Sinclair
2236100945,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Memecylon,,GENUS,PH,"Mt. Camates, Bukidnon Subprovince, Mindanao.",Northern Mindanao,,3716283,,PRESERVED_SPECIMEN,US,,,M. Ramos & G. Edaño
2236100801,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastoma,Melastoma malabathricum,SPECIES,PH,"Island or Province Mt. Province, Luzon. Mt. Sto Tomas.",Cordillera (Administrative Region),1961-12-27 0:00:00,3188511,3188511,PRESERVED_SPECIMEN,US,,,M. Ortega
2236100656,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Osbeckia,Osbeckia stellata,SPECIES,PH,"Province of Rizal, Luzon.",Calabarzon,,7685333,7541996,PRESERVED_SPECIMEN,US,,,M. Ramos
2236100377,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia catappa,SPECIES,PH,"The Philippine Islands, Baler, Principe, Luzon.",,,3189394,3189394,PRESERVED_SPECIMEN,US,,,S. Garcia
