gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3462104302,dce00a1f-f6b4-4e11-9771-92c62c40ad80,7f12d4f8-bcce-4d8d-a798-aa1c3ee6dee3,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351704,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462103305,dce00a1f-f6b4-4e11-9771-92c62c40ad80,3f4e481a-6a09-4185-8a71-89bb060227b3,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351700,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462102303,dce00a1f-f6b4-4e11-9771-92c62c40ad80,d4c7ae7e-5710-4c57-9571-ec53a57e05c4,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Tubig Indangan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,4.88819,119.79394,,,,,,,8/1/21 00:00,1,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351707,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462102302,dce00a1f-f6b4-4e11-9771-92c62c40ad80,56e9a837-ad11-48ea-9d6e-2d88825edcdf,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Tubig Indangan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,4.88819,119.79394,,,,,,,8/1/21 00:00,1,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351709,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462101307,dce00a1f-f6b4-4e11-9771-92c62c40ad80,a24ede2f-856b-45c6-b139-f33a24965011,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351701,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462101306,dce00a1f-f6b4-4e11-9771-92c62c40ad80,9334d248-5f58-427c-bcca-bf2bbe39fe20,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Lapid-Lapid,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.10361,119.837296,,,,,,,8/6/21 00:00,6,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351715,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462101303,dce00a1f-f6b4-4e11-9771-92c62c40ad80,1f4369dd-b74c-422e-8507-6ef0915f8fe3,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351703,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462099308,dce00a1f-f6b4-4e11-9771-92c62c40ad80,e0e42535-1239-4df8-992a-6c9ff3f13c7c,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pasiagan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.0171,119.74993,,,,,,,8/7/21 00:00,7,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351718,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462099307,dce00a1f-f6b4-4e11-9771-92c62c40ad80,bd493788-bde6-433c-b6f7-21639003a70c,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pasiagan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.0171,119.74993,,,,,,,8/7/21 00:00,7,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351719,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3457064748,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/102988907,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates leucomystax,,SPECIES,"Polypedates leucomystax (Gravenhorst, 1829)",Polypedates leucomystax,,PH,,Agusan del Norte,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,8.944581,125.48459,406,,,,,,12/13/21 19:21,13,12,2021,2423785,2423785,HUMAN_OBSERVATION,iNaturalist,Observations,102988907,,kay_angelie_busano,12/13/21 11:27,CC_BY_NC_4_0,kay_angelie_busano,kay_angelie_busano,,,2/25/22 14:36,StillImage,COORDINATE_ROUNDED
